temperatura,presion,velocidad_linea,vibracion,humedad,maquina,turno,material,defectuoso
192.02,50.42,114.44,2.85,35.77,M2,Matutino,A,0
196.16,49.34,85.52,1.73,32.58,M1,Vespertino,C,0
192.01,49.18,117.36,2.24,30.69,M3,Matutino,A,0
210.59,51.14,136.71,3.2,55.43,M3,Nocturno,C,1
205.43,53.43,115.7,2.45,40.4,M2,Vespertino,A,0
191.75,51.97,119.09,2.51,41.16,M2,Matutino,B,0
194.5,57.91,115.31,2.79,34.17,M2,Nocturno,A,0
208.63,57.0,118.74,3.66,37.02,M1,Vespertino,A,1
189.13,55.87,80.91,2.37,42.65,M2,Matutino,C,0
189.37,56.15,89.53,2.56,48.64,M2,Vespertino,B,0
215.93,61.39,127.13,4.12,37.71,M3,Vespertino,C,1
195.05,51.76,96.05,2.52,41.74,M1,Nocturno,B,0
196.71,52.25,104.04,2.18,45.3,M2,Vespertino,A,0
202.78,58.57,72.0,2.36,48.81,M2,Nocturno,C,0
201.24,60.01,96.56,2.37,42.21,M1,Nocturno,A,0
218.16,59.4,97.01,5.01,56.94,M1,Nocturno,C,1
193.65,53.5,122.29,2.06,37.5,M3,Matutino,A,0
200.69,58.25,113.2,4.62,53.17,M3,Matutino,C,1
195.32,48.3,93.09,2.35,29.69,M3,Vespertino,A,0
196.8,54.16,116.31,5.19,55.91,M2,Nocturno,C,1
188.31,56.8,104.29,2.09,47.61,M3,Matutino,A,0
189.57,58.82,119.64,2.53,52.32,M1,Nocturno,B,0
200.2,48.24,120.15,3.63,40.4,M2,Nocturno,A,0
184.87,56.25,108.59,2.97,42.91,M2,Matutino,B,0
199.0,57.03,125.22,3.94,42.21,M3,Vespertino,B,1
202.52,47.73,91.15,2.2,42.48,M3,Vespertino,A,0
195.21,55.29,86.33,2.67,46.29,M3,Matutino,A,0
210.68,50.79,118.18,4.21,40.56,M2,Matutino,A,1
202.18,53.84,86.08,2.9,37.24,M2,Matutino,B,0
198.4,57.76,104.85,1.9,42.9,M1,Matutino,B,0
187.67,49.91,126.43,2.89,34.58,M1,Nocturno,B,0
178.87,42.95,78.43,2.19,35.48,M2,Nocturno,C,0
204.71,66.84,112.51,3.39,53.86,M2,Nocturno,C,1
205.46,53.86,107.78,2.35,44.15,M1,Nocturno,B,0
202.52,55.61,93.18,2.48,41.54,M3,Vespertino,A,0
189.62,49.61,101.59,1.03,39.62,M3,Matutino,B,0
193.72,50.92,88.83,2.38,43.63,M1,Vespertino,A,0
205.42,59.02,115.29,4.93,47.32,M3,Nocturno,B,1
195.2,50.07,110.07,2.99,45.5,M2,Vespertino,C,0
198.45,46.46,115.33,3.01,38.81,M3,Nocturno,B,0
214.08,59.5,90.29,4.72,44.26,M3,Nocturno,A,1
187.87,44.01,98.77,2.12,45.5,M2,Vespertino,A,0
203.58,53.04,104.23,2.13,39.4,M3,Vespertino,B,0
194.86,47.41,86.65,2.95,41.49,M1,Nocturno,A,0
194.68,54.69,83.0,3.29,40.98,M2,Vespertino,B,0
202.78,51.49,106.33,2.8,37.79,M2,Matutino,A,0
207.51,50.74,128.67,3.77,46.75,M2,Vespertino,B,1
187.32,43.88,96.52,1.79,44.25,M1,Matutino,B,0
190.4,46.82,99.88,1.98,45.35,M2,Matutino,B,0
186.78,46.62,125.3,2.87,39.15,M2,Vespertino,A,0
192.28,56.05,86.93,2.76,35.16,M1,Matutino,A,0
186.12,49.74,88.27,3.47,39.02,M3,Vespertino,B,0
191.65,52.09,88.5,2.51,44.52,M2,Nocturno,B,0
200.19,58.53,107.94,2.98,49.17,M1,Vespertino,B,1
197.56,53.08,122.08,1.26,39.62,M1,Vespertino,C,0
184.67,48.44,135.42,1.99,39.77,M3,Nocturno,C,0
190.58,57.66,120.79,3.3,45.08,M1,Nocturno,B,0
192.26,46.56,75.98,1.87,37.0,M2,Matutino,A,0
211.29,59.32,117.62,3.43,50.55,M3,Nocturno,C,1
208.92,53.52,72.0,1.49,42.19,M3,Nocturno,A,0
202.93,45.64,96.75,2.7,38.58,M3,Vespertino,A,0
228.0,52.45,116.22,4.47,56.77,M3,Nocturno,C,1
193.23,53.18,95.58,2.22,45.58,M1,Vespertino,A,0
199.52,47.59,96.95,2.97,42.15,M1,Nocturno,C,0
206.34,57.54,116.87,3.68,53.25,M2,Nocturno,B,1
190.33,47.52,114.02,2.24,39.89,M3,Matutino,A,0
192.34,52.57,93.22,3.06,39.31,M1,Vespertino,B,0
192.82,50.4,97.11,2.69,36.74,M1,Matutino,A,0
195.75,50.09,80.37,2.44,43.81,M3,Vespertino,C,0
210.9,64.35,126.09,3.02,58.42,M3,Vespertino,C,1
182.43,52.77,109.44,2.47,41.89,M2,Nocturno,A,0
207.5,55.95,129.5,4.75,50.94,M1,Nocturno,C,1
205.41,59.39,112.34,2.87,37.89,M1,Nocturno,A,0
200.3,61.34,91.11,2.53,42.12,M2,Vespertino,A,0
178.51,47.03,86.06,1.99,43.12,M1,Nocturno,A,0
193.21,46.62,104.7,2.48,38.66,M2,Nocturno,A,0
196.08,58.46,72.0,2.82,40.64,M1,Matutino,B,0
211.19,60.28,100.88,4.17,41.17,M2,Vespertino,C,1
175.0,53.08,100.82,1.74,34.55,M1,Nocturno,A,0
216.66,49.61,142.0,4.22,53.58,M3,Matutino,B,1
190.22,56.87,100.22,2.15,42.45,M1,Vespertino,C,0
175.0,53.92,104.21,2.2,44.12,M2,Vespertino,A,0
189.7,46.39,85.61,2.42,43.39,M2,Vespertino,A,0
181.45,48.03,92.73,1.27,38.15,M3,Vespertino,C,0
188.28,46.56,105.7,1.79,38.34,M1,Nocturno,C,0
218.15,57.17,88.65,2.44,49.6,M3,Vespertino,C,1
186.44,51.7,97.88,2.12,48.43,M3,Vespertino,A,0
199.11,57.74,123.45,3.3,34.49,M2,Vespertino,B,0
204.96,52.37,107.4,2.48,42.83,M2,Matutino,A,0
197.79,63.56,107.02,4.04,51.44,M3,Nocturno,C,1
181.27,44.95,88.83,2.5,43.33,M1,Vespertino,B,0
192.16,62.55,119.59,2.18,45.48,M2,Matutino,A,0
197.5,48.52,88.69,3.12,41.06,M3,Vespertino,A,0
196.19,54.34,96.2,2.36,38.04,M2,Nocturno,C,0
198.03,53.33,81.02,3.22,38.48,M1,Nocturno,A,0
221.34,59.25,142.0,3.87,55.91,M3,Vespertino,B,1
188.58,57.84,92.93,2.41,40.99,M3,Vespertino,B,0
217.63,54.68,114.37,3.04,49.88,M1,Nocturno,A,1
207.78,55.06,93.27,1.91,36.35,M2,Matutino,C,0
179.23,46.5,102.11,1.52,49.71,M2,Matutino,A,0
186.88,48.78,99.58,2.5,43.06,M2,Vespertino,B,0
187.95,49.8,100.71,2.8,36.14,M3,Matutino,A,0
207.38,48.23,121.52,1.94,53.9,M2,Matutino,A,0
192.86,40.11,112.96,2.14,39.13,M2,Vespertino,C,0
202.87,61.52,111.74,4.41,44.75,M2,Matutino,B,1
189.64,54.1,103.98,1.79,38.38,M1,Matutino,B,0
205.86,54.92,104.68,3.51,46.06,M3,Matutino,B,0
203.12,42.79,81.32,2.68,40.06,M1,Vespertino,B,0
198.42,55.65,84.41,2.3,40.56,M2,Vespertino,B,0
188.91,47.45,108.49,1.98,36.66,M2,Matutino,B,0
196.92,58.29,101.73,5.16,54.27,M3,Nocturno,A,1
188.97,51.02,94.63,3.9,39.3,M3,Matutino,B,0
212.13,49.38,108.92,4.6,49.1,M3,Vespertino,A,1
191.57,51.77,111.01,2.66,46.3,M1,Vespertino,B,0
195.39,49.12,133.81,1.76,46.83,M1,Nocturno,A,0
176.27,57.25,85.72,2.48,38.49,M1,Vespertino,C,0
214.56,53.57,102.36,3.8,54.2,M2,Matutino,C,1
185.62,59.94,91.48,2.76,45.21,M3,Nocturno,A,0
192.63,43.3,122.52,4.03,39.05,M2,Matutino,B,0
206.83,58.54,137.82,4.51,61.88,M3,Nocturno,C,1
211.22,57.68,93.41,3.83,54.2,M1,Vespertino,B,1
191.25,54.39,102.97,2.8,33.7,M2,Matutino,A,0
177.24,53.53,114.5,1.7,46.25,M2,Matutino,A,0
185.15,44.32,104.68,2.7,41.82,M3,Matutino,C,0
176.47,53.61,100.95,2.79,42.38,M3,Matutino,B,0
178.2,54.14,127.95,2.52,62.48,M1,Nocturno,C,1
196.9,53.18,94.41,3.05,40.73,M1,Vespertino,A,0
199.54,51.04,84.16,3.27,45.09,M3,Vespertino,B,0
191.74,54.86,94.04,2.3,35.59,M2,Matutino,A,0
178.93,56.59,118.13,2.4,40.74,M2,Matutino,A,0
196.4,54.56,109.87,2.37,38.65,M1,Vespertino,B,0
206.48,49.12,104.69,1.57,41.88,M1,Vespertino,C,0
202.67,60.83,103.68,5.35,55.09,M3,Matutino,C,1
206.15,53.12,94.79,1.84,37.68,M2,Nocturno,C,0
189.78,51.15,119.04,1.95,37.96,M1,Matutino,C,0
184.75,44.96,114.83,1.76,46.23,M1,Matutino,B,0
182.76,46.59,95.34,1.91,39.0,M3,Vespertino,A,0
180.72,55.76,112.25,2.63,39.76,M3,Vespertino,A,0
198.6,49.02,123.76,2.24,38.87,M2,Nocturno,C,0
205.45,57.46,98.77,2.71,43.02,M1,Nocturno,B,0
197.01,51.18,95.49,2.39,33.82,M1,Nocturno,B,0
178.82,52.11,103.99,1.89,46.34,M1,Matutino,A,0
202.4,55.25,124.45,4.07,50.14,M3,Nocturno,A,1
200.13,51.38,123.06,4.69,50.34,M3,Nocturno,C,1
210.79,57.25,131.91,3.88,48.9,M3,Vespertino,B,1
195.7,62.23,90.65,3.85,45.67,M3,Nocturno,C,1
196.46,45.56,95.73,1.74,52.08,M3,Matutino,B,0
190.69,47.49,95.26,2.41,44.29,M3,Matutino,A,0
180.33,46.14,90.2,2.59,37.06,M1,Nocturno,B,0
191.04,54.66,130.85,2.77,51.25,M2,Nocturno,C,1
191.18,49.48,120.79,3.36,40.91,M1,Matutino,C,0
202.67,62.73,122.83,3.16,52.43,M3,Vespertino,B,1
199.06,44.72,86.54,1.92,38.37,M1,Matutino,B,0
208.98,51.22,109.89,3.69,42.11,M1,Matutino,A,0
209.66,54.65,90.55,2.22,38.06,M2,Matutino,B,0
190.88,53.64,104.73,2.06,41.15,M2,Vespertino,B,0
200.91,55.46,100.69,2.49,35.53,M2,Matutino,A,0
190.82,54.77,100.93,2.92,42.1,M3,Vespertino,C,0
214.19,55.19,101.33,3.93,42.93,M2,Nocturno,C,1
205.32,57.98,115.47,4.05,42.24,M3,Nocturno,B,1
187.45,47.73,117.17,2.24,39.38,M1,Vespertino,A,0
192.76,49.76,83.26,1.82,44.5,M1,Matutino,A,0
191.47,48.48,92.03,2.63,44.06,M2,Nocturno,A,0
189.55,57.06,115.46,2.13,28.93,M2,Nocturno,A,0
212.44,54.14,110.15,3.48,62.44,M3,Nocturno,B,1
191.85,45.89,97.1,2.17,46.01,M3,Matutino,A,0
192.75,43.77,119.07,2.31,44.72,M1,Matutino,B,0
182.74,50.37,87.89,2.48,42.96,M3,Nocturno,A,0
189.03,51.3,74.49,1.9,28.0,M3,Matutino,A,0
208.91,48.95,102.11,2.34,44.79,M1,Matutino,B,0
196.86,61.85,129.63,4.43,55.11,M3,Matutino,C,1
211.36,60.97,113.7,3.96,52.12,M3,Nocturno,B,1
207.23,65.28,95.23,3.94,56.22,M2,Matutino,A,1
186.41,58.79,114.24,2.72,43.5,M2,Matutino,A,0
198.63,50.08,88.42,2.46,48.03,M2,Matutino,A,0
209.61,46.46,85.68,3.97,39.74,M2,Matutino,B,0
201.57,58.13,95.54,1.58,37.05,M2,Vespertino,B,0
186.32,50.19,89.62,2.97,38.94,M1,Matutino,A,0
210.03,57.08,126.96,3.21,47.44,M2,Vespertino,A,1
195.81,53.01,125.41,3.9,44.61,M3,Nocturno,C,1
200.37,50.04,100.43,2.88,38.32,M3,Nocturno,A,0
202.16,49.51,94.4,2.39,35.99,M2,Matutino,B,0
184.93,50.01,93.3,1.68,35.36,M3,Vespertino,B,0
175.0,39.69,72.75,2.66,42.6,M1,Nocturno,B,0
217.57,55.33,119.5,2.4,48.65,M2,Matutino,A,1
194.87,58.98,123.02,2.24,46.69,M3,Nocturno,C,0
194.35,59.74,90.79,2.19,48.88,M3,Nocturno,A,0
216.15,45.41,103.75,5.03,45.63,M3,Nocturno,B,1
210.02,60.2,120.42,3.03,49.74,M3,Nocturno,C,1
214.74,62.82,119.12,3.7,51.69,M2,Nocturno,C,1
203.73,62.72,131.64,3.26,55.67,M2,Vespertino,C,1
184.76,52.42,96.33,1.67,36.64,M2,Vespertino,A,0
188.27,56.97,91.03,2.11,38.25,M2,Vespertino,B,0
189.36,54.6,112.38,2.4,51.39,M2,Nocturno,B,0
192.56,56.36,101.07,2.26,33.92,M3,Vespertino,B,0
185.68,50.75,100.93,1.36,47.24,M3,Vespertino,B,0
194.96,49.06,108.07,1.81,36.46,M1,Matutino,A,0
185.41,57.04,100.1,2.93,34.69,M1,Matutino,A,0
201.41,54.5,85.8,2.26,37.21,M2,Matutino,B,0
195.35,52.18,115.38,2.31,40.89,M2,Vespertino,A,0
202.13,58.11,107.62,5.91,51.48,M3,Vespertino,B,1
205.2,56.89,117.61,4.34,45.15,M3,Matutino,C,1
196.04,50.98,86.94,3.15,39.67,M1,Nocturno,A,0
210.28,59.04,136.04,2.97,51.97,M3,Nocturno,C,1
213.23,57.44,131.38,1.43,46.52,M3,Nocturno,B,1
187.2,53.01,94.27,3.71,36.22,M3,Vespertino,C,0
194.03,45.84,96.12,2.87,34.58,M2,Matutino,B,0
176.88,43.65,104.64,2.85,47.08,M3,Vespertino,B,0
193.33,59.53,90.7,3.15,43.91,M3,Vespertino,A,0
211.24,56.23,103.88,5.51,57.64,M1,Nocturno,B,1
185.07,45.44,92.46,2.83,33.15,M3,Vespertino,B,0
207.31,59.46,128.02,4.26,57.64,M3,Nocturno,A,1
213.58,50.96,89.64,2.52,53.7,M1,Vespertino,B,0
187.69,49.17,103.43,2.9,43.1,M2,Nocturno,A,0
188.05,51.81,106.88,2.46,30.8,M1,Nocturno,C,0
176.49,58.17,102.79,2.56,37.89,M1,Vespertino,A,0
184.38,56.06,82.43,1.87,42.79,M1,Nocturno,C,0
197.24,53.59,106.16,2.48,40.45,M1,Vespertino,B,0
228.0,43.17,125.38,4.01,43.99,M1,Vespertino,B,1
206.6,51.07,97.89,1.97,46.88,M1,Nocturno,C,0
191.63,56.15,96.26,1.01,47.98,M2,Vespertino,A,0
192.92,49.23,110.04,2.4,45.59,M1,Nocturno,A,0
190.03,58.87,120.08,2.56,43.99,M3,Matutino,B,0
195.74,47.29,113.48,2.9,50.39,M3,Vespertino,C,1
202.45,54.75,84.39,3.25,36.22,M3,Matutino,A,0
186.55,47.37,98.99,1.83,36.09,M1,Matutino,B,0
184.56,48.02,83.7,2.18,44.11,M3,Matutino,B,0
188.43,53.17,100.75,2.53,37.62,M3,Matutino,B,0
200.59,44.72,105.72,1.56,41.11,M1,Matutino,A,0
211.8,55.99,114.83,4.75,48.61,M2,Vespertino,B,1
211.16,56.34,118.57,3.85,49.97,M2,Nocturno,B,1
206.58,58.35,105.35,1.54,37.18,M2,Matutino,B,0
213.56,60.33,123.17,3.63,53.63,M1,Nocturno,B,1
185.7,57.25,99.5,2.16,48.48,M2,Matutino,A,0
210.4,53.15,117.53,2.98,44.81,M3,Nocturno,A,1
183.12,61.75,100.39,1.76,40.74,M3,Matutino,B,0
206.57,51.54,117.46,1.51,47.18,M2,Nocturno,A,0
180.86,47.84,92.15,2.49,37.0,M1,Vespertino,A,0
179.71,54.92,110.68,1.06,41.17,M2,Vespertino,B,0
219.04,46.55,90.52,2.55,43.38,M2,Vespertino,C,0
197.99,51.31,119.15,2.0,43.57,M1,Matutino,B,0
197.72,53.46,82.95,2.8,48.95,M1,Nocturno,B,0
203.55,57.1,98.28,3.88,47.75,M2,Vespertino,C,1
199.7,45.58,79.12,3.37,45.24,M3,Vespertino,C,0
197.7,51.09,111.13,2.38,45.15,M3,Matutino,A,0
194.4,50.03,114.52,2.06,51.61,M2,Vespertino,A,0
178.64,49.24,119.83,2.86,42.95,M1,Matutino,C,0
181.5,54.91,124.12,2.56,51.62,M1,Matutino,A,0
219.51,52.36,115.39,3.98,60.88,M1,Nocturno,C,1
181.44,55.44,101.31,2.13,44.49,M2,Vespertino,C,0
200.89,57.01,126.45,3.67,43.57,M3,Nocturno,C,1
200.45,54.1,107.72,3.15,44.82,M1,Vespertino,A,0
186.34,46.28,88.92,3.71,33.96,M1,Vespertino,C,0
195.02,46.15,72.0,2.38,45.23,M1,Matutino,B,0
182.12,47.3,90.1,1.69,37.95,M3,Nocturno,B,0
175.0,46.56,95.45,1.57,41.2,M3,Vespertino,B,0
175.0,53.87,74.59,2.73,37.08,M2,Vespertino,B,0
196.43,56.03,97.7,2.59,39.44,M1,Vespertino,A,0
206.05,55.76,120.22,3.68,36.58,M2,Matutino,A,0
193.46,50.32,134.53,2.68,40.73,M2,Nocturno,A,0
197.58,51.95,85.69,2.59,31.58,M3,Nocturno,A,0
184.16,46.36,99.68,2.1,46.67,M3,Nocturno,B,0
188.6,55.06,100.51,2.51,44.19,M2,Nocturno,A,0
201.67,48.33,102.96,5.33,38.57,M2,Matutino,A,1
209.21,53.9,104.23,2.32,43.88,M2,Matutino,C,0
198.52,54.74,109.79,3.25,36.43,M1,Vespertino,B,0
185.97,45.84,113.68,1.27,37.36,M1,Matutino,A,0
203.89,51.98,82.77,1.13,44.89,M3,Nocturno,A,0
200.09,55.19,104.54,3.11,37.21,M2,Matutino,A,0
180.92,54.57,104.88,1.15,37.39,M1,Matutino,A,0
203.65,49.87,100.11,3.62,44.01,M1,Nocturno,A,0
195.59,51.36,122.28,5.78,39.28,M3,Nocturno,C,1
192.04,54.75,97.47,2.34,37.91,M1,Matutino,A,0
203.6,57.08,83.96,2.58,38.29,M2,Vespertino,B,0
194.23,58.23,117.32,3.26,41.73,M2,Matutino,A,0
194.98,59.2,72.0,2.73,51.61,M3,Matutino,B,0
207.9,62.84,112.97,3.97,46.19,M3,Nocturno,A,1
220.33,55.82,125.11,2.26,28.0,M1,Nocturno,B,0
203.49,52.25,72.0,2.19,40.66,M2,Matutino,A,0
207.64,44.88,85.53,2.56,45.07,M1,Vespertino,C,0
216.05,58.42,109.97,2.54,50.19,M1,Vespertino,B,0
175.0,39.99,103.5,2.13,38.15,M1,Vespertino,A,0
187.85,51.58,109.14,1.0,34.91,M1,Vespertino,B,0
175.49,50.51,94.73,2.86,39.12,M1,Nocturno,B,0
175.0,53.47,95.0,2.83,42.37,M1,Vespertino,B,0
183.36,52.45,86.9,1.44,35.44,M1,Matutino,C,0
192.52,54.15,102.16,2.28,42.28,M2,Vespertino,B,0
180.31,54.48,103.3,2.46,44.61,M1,Vespertino,A,0
213.8,42.97,90.72,2.62,35.74,M2,Matutino,B,0
201.23,50.31,97.42,2.3,39.85,M1,Matutino,B,0
201.5,53.5,111.87,4.98,49.18,M3,Vespertino,B,1
211.29,55.56,82.03,3.57,33.19,M2,Matutino,B,0
198.26,48.11,114.83,2.61,35.62,M2,Matutino,B,0
190.7,49.25,121.06,2.77,36.14,M1,Matutino,A,0
190.24,50.88,105.08,2.52,49.06,M3,Matutino,C,0
177.7,49.83,87.01,2.73,37.03,M2,Matutino,B,0
191.15,46.96,95.82,1.79,43.65,M2,Vespertino,A,0
191.87,47.54,105.51,2.78,37.75,M2,Vespertino,B,0
200.05,56.99,132.82,4.88,48.61,M2,Nocturno,B,1
196.3,44.13,91.28,2.28,48.23,M2,Nocturno,B,0
194.69,47.19,91.63,1.01,46.87,M3,Matutino,B,0
215.72,59.26,127.5,3.31,54.66,M2,Nocturno,B,1
214.79,49.1,115.24,4.21,44.09,M2,Nocturno,C,1
193.25,56.4,118.58,1.33,40.52,M2,Matutino,B,0
186.78,46.03,90.09,2.15,37.34,M1,Nocturno,A,0
203.47,51.41,97.88,2.72,35.32,M1,Vespertino,A,0
194.76,49.93,97.63,2.03,37.83,M1,Matutino,A,0
188.72,56.06,89.52,2.27,45.6,M2,Vespertino,C,0
201.58,45.61,92.32,2.71,43.38,M2,Matutino,B,0
207.31,61.05,115.85,3.58,47.36,M1,Nocturno,A,1
203.08,57.63,90.87,2.76,38.75,M2,Vespertino,A,0
190.03,47.58,99.52,2.46,28.0,M1,Nocturno,B,0
192.18,57.54,101.78,2.64,41.35,M2,Matutino,B,0
194.91,57.01,76.64,3.31,39.69,M3,Nocturno,A,0
175.0,51.6,96.6,2.14,37.73,M2,Vespertino,A,0
194.14,50.35,91.95,2.77,40.46,M1,Vespertino,C,0
194.06,40.56,87.44,2.25,43.87,M3,Matutino,A,0
197.81,42.84,89.55,2.2,40.24,M3,Matutino,A,0
194.56,46.75,107.49,2.22,42.17,M3,Matutino,B,0
207.04,58.04,129.55,4.28,47.65,M2,Matutino,B,1
188.36,55.01,105.81,2.11,44.85,M2,Nocturno,B,0
208.34,52.56,136.92,2.95,49.9,M3,Nocturno,A,1
175.05,49.48,104.98,2.31,37.16,M2,Matutino,A,0
182.7,50.84,101.67,2.32,40.84,M2,Vespertino,A,0
200.81,55.39,101.98,2.86,41.2,M1,Matutino,B,0
206.65,38.0,119.2,2.27,48.84,M1,Nocturno,C,0
187.61,44.5,107.86,2.1,43.64,M1,Vespertino,B,0
189.91,55.09,117.16,2.67,44.22,M1,Nocturno,A,0
200.23,50.69,95.02,2.64,44.22,M1,Matutino,B,0
202.96,58.68,127.19,4.9,50.46,M2,Vespertino,A,1
175.0,53.16,84.61,2.83,39.83,M1,Nocturno,A,0
191.69,56.57,110.76,1.46,46.0,M1,Matutino,B,0
204.6,58.16,114.7,2.24,38.28,M1,Nocturno,B,0
195.15,56.78,113.25,4.17,55.58,M2,Vespertino,C,1
206.83,50.76,102.48,3.34,35.88,M2,Matutino,A,0
198.5,57.23,93.34,2.11,39.14,M3,Matutino,C,0
190.42,49.52,92.04,2.77,45.41,M2,Nocturno,B,0
217.92,55.67,100.91,4.6,47.69,M3,Matutino,C,1
222.92,64.75,125.29,3.53,49.23,M2,Nocturno,B,1
187.27,61.95,113.45,2.37,40.7,M2,Matutino,B,0
203.22,54.94,99.01,2.05,48.51,M3,Vespertino,A,0
211.16,58.69,123.4,3.49,48.06,M3,Vespertino,C,1
206.75,46.15,91.42,2.73,42.31,M1,Vespertino,A,0
193.33,57.4,93.41,4.94,50.63,M3,Vespertino,C,1
185.16,49.15,100.56,2.06,38.15,M3,Vespertino,B,0
199.26,60.95,95.59,2.53,44.8,M2,Matutino,A,0
187.37,55.67,108.73,2.29,38.29,M2,Vespertino,A,0
204.3,46.57,101.29,1.72,30.81,M2,Vespertino,A,0
175.46,45.78,128.54,3.47,42.46,M3,Nocturno,C,0
197.15,57.6,95.36,2.14,43.32,M2,Vespertino,A,0
190.96,52.21,112.42,1.86,35.21,M3,Vespertino,A,0
193.3,52.75,105.98,2.53,33.59,M1,Matutino,A,0
203.49,47.31,80.94,2.14,47.11,M2,Vespertino,C,0
213.64,42.8,109.07,2.04,38.59,M1,Nocturno,B,0
198.12,46.21,94.11,1.49,35.6,M1,Vespertino,A,0
208.03,47.56,79.13,2.94,46.28,M1,Matutino,B,0
198.7,63.16,105.97,3.99,47.23,M3,Vespertino,C,1
193.75,55.92,98.16,2.37,34.85,M1,Vespertino,A,0
178.34,46.44,88.51,2.94,43.28,M3,Matutino,B,0
200.62,53.77,90.01,3.35,38.69,M1,Vespertino,B,0
180.88,60.56,112.84,2.57,37.4,M1,Vespertino,A,0
183.23,53.31,104.9,2.07,29.74,M1,Nocturno,A,0
219.86,63.86,100.28,5.72,52.76,M1,Nocturno,C,1
187.45,55.69,85.03,1.67,34.3,M1,Vespertino,B,0
210.77,53.56,112.14,1.84,42.37,M2,Vespertino,A,0
193.78,54.57,98.95,2.32,36.59,M1,Matutino,A,0
205.9,58.3,105.02,2.49,44.48,M2,Vespertino,B,0
200.23,58.58,107.75,3.21,46.43,M1,Vespertino,C,0
194.56,64.61,112.72,4.07,41.03,M2,Vespertino,C,1
193.34,42.15,106.59,1.83,39.41,M2,Matutino,C,0
184.91,57.17,103.28,2.37,40.69,M2,Matutino,B,0
175.0,58.13,103.93,1.98,48.18,M1,Matutino,C,0
204.01,49.49,111.64,2.39,38.93,M2,Vespertino,B,0
219.71,47.35,122.15,2.7,54.53,M3,Nocturno,C,1
184.29,51.08,92.37,2.9,41.43,M3,Nocturno,C,0
208.55,54.21,121.96,1.26,45.16,M1,Matutino,B,0
185.9,49.54,118.18,2.52,43.43,M2,Nocturno,A,0
187.03,56.63,94.64,2.32,34.43,M1,Matutino,C,0
182.88,50.09,100.09,1.7,43.43,M1,Nocturno,A,0
195.4,46.29,111.76,2.22,38.74,M3,Vespertino,B,0
176.56,48.21,112.87,1.55,46.93,M2,Matutino,A,0
201.6,38.0,84.97,2.74,30.63,M2,Vespertino,C,0
192.51,48.92,82.75,2.12,40.63,M2,Matutino,B,0
194.28,53.04,116.19,3.57,52.21,M3,Matutino,C,1
193.34,48.49,72.0,2.5,52.71,M3,Matutino,B,0
189.09,46.88,99.71,2.38,44.33,M3,Matutino,B,0
200.61,53.81,93.66,2.54,41.43,M3,Vespertino,B,0
194.19,53.46,75.26,2.4,46.8,M1,Nocturno,A,0
205.9,53.62,82.64,2.28,33.45,M2,Vespertino,B,0
203.88,58.91,95.08,2.74,45.34,M2,Matutino,A,0
191.82,50.6,107.03,2.32,44.56,M1,Vespertino,C,0
183.89,53.95,113.53,2.23,38.01,M3,Matutino,B,0
202.88,46.91,80.5,1.93,54.75,M1,Matutino,B,0
184.27,45.99,102.19,3.22,46.48,M2,Matutino,A,0
193.55,49.65,99.36,2.0,48.32,M2,Vespertino,A,0
194.17,54.1,136.61,2.96,33.0,M1,Vespertino,C,0
194.53,55.0,117.33,2.58,43.84,M3,Matutino,A,0
206.63,44.45,100.26,2.61,38.03,M2,Nocturno,B,0
198.44,56.97,96.56,1.89,42.39,M2,Matutino,B,0
201.13,48.68,110.86,1.9,34.27,M1,Vespertino,B,0
182.31,47.37,107.54,2.47,49.42,M3,Vespertino,C,0
201.54,48.11,74.83,3.32,40.49,M3,Nocturno,C,0
186.53,52.63,106.2,2.93,43.78,M2,Vespertino,C,0
216.66,65.11,129.61,3.66,53.78,M3,Nocturno,C,1
189.16,55.26,102.27,1.95,47.01,M2,Matutino,A,0
197.41,55.52,109.36,3.28,37.81,M3,Nocturno,B,0
198.07,51.38,104.59,3.04,39.96,M3,Matutino,B,0
193.07,60.98,111.76,3.18,46.09,M2,Vespertino,B,0
196.71,58.01,96.75,2.6,39.97,M1,Vespertino,A,0
189.85,48.24,112.76,3.0,41.36,M1,Nocturno,B,0
181.34,54.96,105.18,3.95,49.17,M1,Matutino,C,0
187.77,55.8,102.59,2.55,44.47,M1,Vespertino,A,0
200.21,59.42,80.87,2.8,39.76,M1,Nocturno,B,0
208.97,54.61,105.52,2.71,51.6,M3,Vespertino,C,1
193.32,49.12,97.61,2.83,38.91,M1,Matutino,C,0
187.51,52.29,87.28,2.63,39.89,M1,Vespertino,A,0
190.64,56.05,98.46,2.99,37.97,M2,Nocturno,B,0
209.43,54.04,121.49,5.09,45.36,M2,Nocturno,B,1
185.33,54.17,96.86,2.81,38.69,M1,Matutino,C,0
201.25,50.28,90.5,1.85,39.88,M1,Matutino,C,0
203.54,50.12,91.8,2.12,45.27,M2,Nocturno,B,0
196.5,53.34,110.28,1.46,37.67,M1,Nocturno,B,0
190.43,45.07,80.05,2.89,36.3,M1,Matutino,A,0
205.17,46.26,101.3,2.48,44.39,M2,Matutino,A,0
199.19,57.74,103.79,1.93,40.76,M1,Nocturno,C,0
211.07,62.44,112.24,2.93,42.46,M3,Nocturno,B,1
187.98,49.09,84.72,2.24,38.13,M2,Nocturno,C,0
