Caso,Survived,Age,Passenger,Sex,Hermanos o Esposas,Ni¤os,Tarifa
667,No,36,Third,Female,0,2,12.1833
668,Yes,25,Third,Male,0,0,7.2292
669,No,37,Third,Female,0,0,9.5875
670,No,29.88113451,Third,Male,0,0,7.8958
671,Yes,29.88113451,Third,Male,0,0,56.4958
672,Yes,22,Third,Female,0,0,7.25
673,No,29.88113451,Third,Male,0,0,7.75
674,No,29,Third,Male,0,0,9.4833
675,No,29,Third,Male,0,0,7.775
676,No,29.88113451,Third,Male,3,1,25.4667
677,No,29.88113451,Third,Female,3,1,25.4667
678,No,29.88113451,Third,Female,3,1,25.4667
679,No,29.88113451,Third,Female,0,4,25.4667
680,No,32,Third,Male,0,0,7.925
681,No,34.5,Third,Male,0,0,6.4375
682,No,29.88113451,Third,Male,1,0,15.5
683,No,39,Third,Male,0,0,24.15
684,No,25,Third,Female,0,0,7.775
685,No,36,Third,Male,1,0,15.55
686,No,30,Third,Female,1,0,15.55
687,Yes,20,Third,Male,1,0,7.925
688,No,29.88113451,Third,Male,0,0,7.8792
689,No,28,Third,Male,0,0,56.4958
690,No,30,Third,Male,1,0,16.1
691,No,26,Third,Female,1,0,16.1
692,No,29.88113451,Third,Male,0,0,7.8792
693,No,20.5,Third,Male,0,0,7.25
694,No,51,Third,Male,0,0,7.0542
695,Yes,23,Third,Female,0,0,7.8542
696,Yes,32,Third,Male,0,0,7.5792
697,No,29.88113451,Third,Male,0,0,7.55
698,Yes,29.88113451,Third,Female,0,0,7.75
699,Yes,24,Third,Male,0,0,7.1417
700,No,22,Third,Male,0,0,7.125
701,No,29.88113451,Third,Female,0,0,7.8792
702,No,29.88113451,Third,Male,0,0,7.75
703,No,29.88113451,Third,Male,0,0,8.05
704,No,29,Third,Male,0,0,7.925
705,No,30.5,Third,Female,0,0,7.75
706,No,29.88113451,Third,Male,0,0,7.2292
707,No,33,Third,Male,0,0,7.8958
708,No,29.88113451,Third,Male,0,0,7.8958
709,Yes,29.88113451,Third,Female,0,0,7.75
710,Yes,29.88113451,Third,Male,0,0,7.75
711,Yes,29.88113451,Third,Female,2,0,23.25
712,Yes,29.88113451,Third,Female,2,0,23.25
713,Yes,29.88113451,Third,Male,2,0,23.25
714,Yes,29.88113451,Third,Female,0,0,7.7875
715,Yes,29.88113451,Third,Female,0,0,7.8792
716,Yes,15,Third,Female,0,0,8.0292
717,No,35,Third,Female,0,0,7.75
718,No,29.88113451,Third,Male,0,0,7.75
719,No,24,Third,Male,1,0,16.1
720,No,29.88113451,Third,Female,0,0,8.05
721,No,29.88113451,Third,Female,0,0,8.05
722,No,29.88113451,Third,Male,0,0,7.75
723,Yes,21,Third,Male,0,0,7.775
724,No,24,Third,Male,0,0,7.8958
725,No,21,Third,Male,0,0,7.8958
726,Yes,29.88113451,Third,Female,0,0,7.8792
727,Yes,6,Third,Male,0,1,12.475
728,Yes,27,Third,Female,0,1,12.475
729,No,29.88113451,Third,Male,0,0,8.05
730,Yes,29.88113451,Third,Female,1,0,24.15
731,No,29.88113451,Third,Male,1,0,24.15
732,No,29.88113451,Third,Male,0,0,8.4583
733,No,34,Third,Male,0,0,8.05
734,No,29.88113451,Third,Male,0,0,7.75
735,Yes,29.88113451,Third,Male,0,0,7.775
736,Yes,29.88113451,Third,Male,1,1,15.2458
737,Yes,29.88113451,Third,Female,0,0,7.7333
738,Yes,24,Third,Female,0,0,7.75
739,Yes,29.88113451,Third,Female,1,0,15.5
740,Yes,29.88113451,Third,Female,1,0,15.5
741,Yes,29.88113451,Third,Female,0,0,15.5
742,No,18,Third,Male,0,0,7.75
743,Yes,15,Third,Female,0,0,7.225
744,No,29.88113451,Third,Male,0,0,7.8958
745,No,29.88113451,Third,Male,0,0,7.2292
746,No,29.88113451,Third,Female,0,0,7.75
747,No,29.88113451,Third,Male,0,0,7.8958
748,Yes,12,Third,Male,1,0,11.2417
749,Yes,14,Third,Female,1,0,11.2417
750,Yes,18,Third,Female,0,0,7.775
751,Yes,26,Third,Female,0,0,7.8542
752,No,21,Third,Male,0,0,7.8542
753,No,41,Third,Male,0,0,7.125
754,Yes,39,Third,Male,0,0,7.925
755,No,21,Third,Male,0,0,7.8
756,No,28.5,Third,Male,0,0,7.2292
757,Yes,22,Third,Female,0,0,7.75
758,No,61,Third,Male,0,0,6.2375
759,Yes,29.88113451,Third,Female,1,0,15.5
760,No,29.88113451,Third,Male,0,0,7.7333
761,No,29.88113451,Third,Male,0,0,7.75
762,No,23,Third,Male,0,0,9.225
763,Yes,29.88113451,Third,Female,0,0,7.75
764,Yes,22,Third,Female,0,0,7.775
765,Yes,29.88113451,Third,Female,0,0,7.8292
766,Yes,9,Third,Male,0,1,3.1708
767,No,28,Third,Male,0,0,22.525
768,No,42,Third,Male,0,1,8.4042
769,No,31,Third,Female,0,0,7.8542
770,No,28,Third,Male,0,0,7.8542
771,No,20,Third,Male,0,0,9.225
772,No,23,Third,Female,0,0,8.6625
773,No,20,Third,Male,0,0,8.6625
774,No,16,Third,Male,0,0,9.2167
775,Yes,31,Third,Female,0,0,8.6833
776,No,29.88113451,Third,Female,0,0,7.6292
777,No,6,Third,Male,3,1,21.075
778,No,3,Third,Female,3,1,21.075
779,No,8,Third,Female,3,1,21.075
780,No,29,Third,Female,0,4,21.075
781,No,1,Third,Male,4,1,39.6875
782,No,2,Third,Male,4,1,39.6875
783,No,16,Third,Male,4,1,39.6875
784,No,14,Third,Male,4,1,39.6875
785,No,41,Third,Female,0,5,39.6875
786,No,21,Third,Male,0,0,8.6625
787,No,32,Third,Male,0,0,7.8958
788,No,0.75,Third,Male,1,1,13.775
789,No,26,Third,Female,0,2,13.775
790,No,29.88113451,Third,Male,0,0,7
791,No,29.88113451,Third,Male,0,0,8.05
792,No,21,Third,Male,0,0,7.925
793,No,22,Third,Male,0,0,7.25
794,Yes,25,Third,Male,1,0,7.775
795,Yes,29.88113451,Third,Male,1,1,22.3583
796,Yes,29.88113451,Third,Female,0,2,22.3583
797,No,29.88113451,Third,Female,0,0,8.1375
798,No,24,Third,Male,0,0,8.05
799,No,28,Third,Female,0,0,7.8958
800,No,19,Third,Male,0,0,7.8958
801,No,29.88113451,Third,Male,0,0,7.8958
802,No,25,Third,Male,1,0,7.775
803,Yes,32,Third,Male,0,0,8.05
804,No,29.88113451,Third,Male,0,0,7.8958
805,No,17,Third,Male,0,0,8.6625
806,No,24,Third,Male,0,0,8.6625
807,No,29.88113451,Third,Male,0,0,7.8958
808,No,29.88113451,Third,Male,0,0,7.2292
809,No,29.88113451,Third,Male,0,0,7.25
810,No,38,Third,Male,0,0,7.8958
811,No,21,Third,Male,0,0,8.05
812,No,4,Third,Male,4,1,29.125
813,No,7,Third,Male,4,1,29.125
814,No,2,Third,Male,4,1,29.125
815,No,8,Third,Male,4,1,29.125
816,No,39,Third,Female,0,5,29.125
817,No,35,Third,Male,0,0,7.125
818,No,50,Third,Male,1,0,14.5
819,No,29.88113451,Third,Male,0,0,8.05
820,No,2,Third,Female,1,1,20.2125
821,No,18,Third,Male,1,1,20.2125
822,Yes,29.88113451,Third,Male,0,0,7.75
823,No,29.88113451,Third,Male,0,0,7.2292
824,No,25,Third,Male,0,0,7.225
825,No,29.88113451,Third,Male,0,0,7.225
826,No,29.88113451,Third,Male,0,0,7.7292
827,No,29.88113451,Third,Male,0,0,7.575
828,No,29.88113451,Third,Male,8,2,69.55
829,No,14.5,Third,Male,8,2,69.55
830,No,29.88113451,Third,Male,8,2,69.55
831,No,29.88113451,Third,Male,8,2,69.55
832,No,29.88113451,Third,Male,1,9,69.55
833,No,24,Third,Male,0,0,9.325
834,Yes,21,Third,Female,0,0,7.65
835,No,29.88113451,Third,Male,2,0,21.6792
836,No,29.88113451,Third,Male,2,0,21.6792
837,No,29.88113451,Third,Male,2,0,21.6792
838,Yes,1,Third,Female,1,1,16.7
839,Yes,24,Third,Female,0,2,16.7
840,Yes,4,Third,Female,1,1,16.7
841,Yes,25,Third,Male,0,0,9.5
842,No,20,Third,Male,0,0,8.05
843,No,24.5,Third,Male,0,0,8.05
844,No,29.88113451,Third,Male,0,0,15.1
845,No,29.88113451,Third,Male,0,0,8.05
846,No,22,Third,Male,0,0,7.2292
847,No,29.88113451,Third,Male,0,0,8.05
848,Yes,18,Third,Female,0,0,7.4958
849,No,9,Third,Female,3,2,27.9
850,No,2,Third,Female,3,2,27.9
851,No,40,Third,Male,1,4,27.9
852,No,45,Third,Female,1,4,27.9
853,No,29.88113451,Third,Male,0,0,8.05
854,Yes,29.88113451,Third,Female,0,0,7.7333
855,No,19,Third,Male,0,0,7.65
856,No,29.88113451,Third,Male,0,0,8.05
857,No,29.88113451,Third,Male,0,0,7.8958
858,Yes,23,Third,Female,0,0,7.55
859,No,21,Third,Male,0,0,8.05
860,No,19,Third,Male,0,0,7.8958
861,No,22,Third,Female,0,0,9.8375
862,Yes,31,Third,Male,0,0,7.925
863,No,27,Third,Male,0,0,8.6625
864,No,2,Third,Female,0,1,10.4625
865,No,29,Third,Female,1,1,10.4625
866,Yes,16,Third,Male,0,0,8.05
867,No,25,Third,Male,0,0,7.05
868,No,74,Third,Male,0,0,7.775
869,No,24,Third,Male,0,0,7.7958
870,No,34,Third,Male,0,0,8.05
871,No,29.88113451,Third,Male,1,0,6.4375
872,No,29.88113451,Third,Male,0,0,7.225
873,Yes,16,Third,Female,1,1,8.5167
874,No,29.88113451,Third,Male,1,0,16.1
875,No,32,Third,Male,0,0,7.925
876,No,29.88113451,Third,Male,0,0,7.8958
877,No,29.88113451,Third,Male,0,0,7.2292
878,Yes,9,Third,Female,1,1,15.2458
879,No,36,Third,Male,0,0,7.8958
880,Yes,18,Third,Female,0,0,9.8417
881,Yes,63,Third,Female,0,0,9.5875
882,No,40.5,Third,Male,0,2,14.5
883,No,36,Third,Male,1,1,24.15
884,No,33,Third,Male,0,0,9.5
885,No,28,Third,Male,0,0,9.5
886,No,28,Third,Male,0,0,9.5
887,No,18,Third,Female,2,0,18
888,No,31,Third,Male,3,0,18
889,No,16,Third,Male,2,0,18
890,Yes,22,Third,Male,0,0,7.225
891,No,20,Third,Male,0,0,7.8542
892,No,14,Third,Female,0,0,7.8542
893,No,22,Third,Male,0,0,7.8958
894,No,22,Third,Male,0,0,9
895,No,29.88113451,Third,Male,0,0,8.05
896,No,29.88113451,Third,Male,0,0,8.05
897,No,32.5,Third,Male,0,0,9.5
898,Yes,38,Third,Female,0,0,7.2292
899,No,51,Third,Male,0,0,7.75
900,No,21,Third,Male,1,0,6.4958
901,Yes,47,Third,Female,1,0,7
902,No,29.88113451,Third,Male,0,0,8.7125
903,No,29.88113451,Third,Male,0,0,7.55
904,No,29.88113451,Third,Male,0,0,8.05
905,No,21,Third,Male,0,0,7.25
906,No,27,Third,Male,0,0,8.6625
907,No,29.88113451,Third,Male,0,0,7.25
908,No,36,Third,Male,0,0,9.5
909,No,27,Third,Male,1,0,14.4542
910,Yes,15,Third,Female,1,0,14.4542
911,No,45.5,Third,Male,0,0,7.225
912,No,29.88113451,Third,Male,0,0,7.225
913,No,29.88113451,Third,Male,0,0,14.4583
914,No,14.5,Third,Female,1,0,14.4542
915,No,26.5,Third,Male,0,0,7.225
916,No,27,Third,Male,0,0,7.225
